Query_ID,N_Value,M_Value,Iteration_Number,Success_Probability,Confidence_Threshold,Stopping_Iteration,Stopped
Q0001,500,50,1,0.676,0.9,2,No
Q0001,500,50,2,0.9986,0.9,2,Yes
Q0002,500,50,1,0.676,0.9,2,No
Q0002,500,50,2,0.9986,0.9,2,Yes
Q0003,500,50,1,0.676,0.9,2,No
Q0003,500,50,2,0.9986,0.9,2,Yes
Q0004,500,50,1,0.676,0.9,2,No
Q0004,500,50,2,0.9986,0.9,2,Yes
Q0005,500,33,1,0.4941,0.9,2,No
Q0005,500,33,2,0.928,0.9,2,Yes
Q0006,500,40,1,0.5746,0.9,2,No
Q0006,500,40,2,0.9813,0.9,2,Yes
Q0007,500,27,1,0.4185,0.9,3,No
Q0007,500,27,2,0.8497,0.9,3,No
Q0007,500,27,3,0.995,0.9,3,Yes
Q0008,500,33,1,0.4941,0.9,2,No
Q0008,500,33,2,0.928,0.9,2,Yes
Q0009,500,27,1,0.4185,0.9,3,No
Q0009,500,27,2,0.8497,0.9,3,No
Q0009,500,27,3,0.995,0.9,3,Yes
Q0010,500,37,1,0.5411,0.9,2,No
Q0010,500,37,2,0.9631,0.9,2,Yes
Q0011,500,22,1,0.3509,0.9,3,No
Q0011,500,22,2,0.7581,0.9,3,No
Q0011,500,22,3,0.9917,0.9,3,Yes
Q0012,500,23,1,0.3648,0.9,3,No
Q0012,500,23,2,0.7785,0.9,3,No
Q0012,500,23,3,0.9967,0.9,3,Yes
Q0013,500,10,1,0.1705,0.9,4,No
Q0013,500,10,2,0.4244,0.9,4,No
Q0013,500,10,3,0.7019,0.9,4,No
Q0013,500,10,4,0.9162,0.9,4,Yes
Q0014,500,16,1,0.2639,0.9,3,No
Q0014,500,16,2,0.6129,0.9,3,No
Q0014,500,16,3,0.9059,0.9,3,Yes
Q0015,500,13,1,0.2181,0.9,4,No
Q0015,500,13,2,0.5244,0.9,4,No
Q0015,500,13,3,0.8208,0.9,4,No
Q0015,500,13,4,0.9872,0.9,4,Yes
Q0016,500,12,1,0.2024,0.9,4,No
Q0016,500,12,2,0.4923,0.9,4,No
Q0016,500,12,3,0.7851,0.9,4,No
Q0016,500,12,4,0.9711,0.9,4,Yes
Q0017,500,11,1,0.1866,0.9,4,No
Q0017,500,11,2,0.459,0.9,4,No
Q0017,500,11,3,0.7456,0.9,4,No
Q0017,500,11,4,0.9476,0.9,4,Yes
Q0018,500,9,1,0.1543,0.9,5,No
Q0018,500,9,2,0.3884,0.9,5,No
